Resolvendo para alvo X em (3, 4)...
Explorados: 10000 | F: 30 | G: 11
Explorados: 20000 | F: 31 | G: 14
Explorados: 30000 | F: 31 | G: 12
Explorados: 40000 | F: 32 | G: 15
Explorados: 50000 | F: 32 | G: 19
Explorados: 60000 | F: 32 | G: 17
Explorados: 70000 | F: 31 | G: 24
Explorados: 80000 | F: 33 | G: 19
Explorados: 90000 | F: 33 | G: 14
Explorados: 100000 | F: 33 | G: 19
Explorados: 110000 | F: 33 | G: 19
Explorados: 120000 | F: 33 | G: 18
Explorados: 130000 | F: 33 | G: 14
Explorados: 140000 | F: 33 | G: 14
Explorados: 150000 | F: 33 | G: 14
Explorados: 160000 | F: 33 | G: 14
Explorados: 170000 | F: 34 | G: 15
Explorados: 180000 | F: 33 | G: 18
Explorados: 190000 | F: 34 | G: 17
Explorados: 200000 | F: 34 | G: 17
Explorados: 210000 | F: 34 | G: 18
Explorados: 220000 | F: 34 | G: 20
Explorados: 230000 | F: 34 | G: 20
Explorados: 240000 | F: 34 | G: 20
Explorados: 250000 | F: 34 | G: 17
Explorados: 260000 | F: 34 | G: 20
Explorados: 270000 | F: 34 | G: 27
Explorados: 280000 | F: 34 | G: 20
Explorados: 290000 | F: 34 | G: 20
Explorados: 300000 | F: 34 | G: 19
Explorados: 310000 | F: 34 | G: 20
Explorados: 320000 | F: 34 | G: 16
Explorados: 330000 | F: 34 | G: 20
Explorados: 340000 | F: 34 | G: 19
Explorados: 350000 | F: 34 | G: 16
Explorados: 360000 | F: 34 | G: 19
Explorados: 370000 | F: 34 | G: 32
Explorados: 380000 | F: 35 | G: 21
Explorados: 390000 | F: 35 | G: 16
Explorados: 400000 | F: 35 | G: 20
Explorados: 410000 | F: 35 | G: 24
Explorados: 420000 | F: 35 | G: 21
Explorados: 430000 | F: 35 | G: 21
Explorados: 440000 | F: 35 | G: 20
Explorados: 450000 | F: 35 | G: 19
Explorados: 460000 | F: 35 | G: 20
Explorados: 470000 | F: 35 | G: 20
Explorados: 480000 | F: 35 | G: 18
Explorados: 490000 | F: 35 | G: 16
Explorados: 500000 | F: 35 | G: 16
Explorados: 510000 | F: 35 | G: 21
Explorados: 520000 | F: 34 | G: 28
Explorados: 530000 | F: 35 | G: 21
Explorados: 540000 | F: 35 | G: 26
Explorados: 550000 | F: 35 | G: 18
Explorados: 560000 | F: 35 | G: 20
Explorados: 570000 | F: 35 | G: 27
Explorados: 580000 | F: 35 | G: 21
Explorados: 590000 | F: 35 | G: 24
Explorados: 600000 | F: 35 | G: 16
Explorados: 610000 | F: 35 | G: 16
Explorados: 620000 | F: 35 | G: 18
Explorados: 630000 | F: 35 | G: 18
Explorados: 640000 | F: 35 | G: 20
Explorados: 650000 | F: 35 | G: 16
Explorados: 660000 | F: 35 | G: 18
Explorados: 670000 | F: 35 | G: 21
Explorados: 680000 | F: 35 | G: 21
Explorados: 690000 | F: 35 | G: 16
Explorados: 700000 | F: 35 | G: 18
Explorados: 710000 | F: 35 | G: 19
Explorados: 720000 | F: 35 | G: 21
Explorados: 730000 | F: 35 | G: 16
Explorados: 740000 | F: 35 | G: 16
Explorados: 750000 | F: 34 | G: 20
Explorados: 760000 | F: 35 | G: 16
Explorados: 770000 | F: 35 | G: 16
Explorados: 780000 | F: 35 | G: 22
Explorados: 790000 | F: 36 | G: 17
Explorados: 800000 | F: 36 | G: 17
Explorados: 810000 | F: 36 | G: 19
Explorados: 820000 | F: 36 | G: 22
Explorados: 830000 | F: 36 | G: 17
Explorados: 840000 | F: 36 | G: 20
Explorados: 850000 | F: 35 | G: 26
Explorados: 860000 | F: 36 | G: 22
Explorados: 870000 | F: 36 | G: 17
Explorados: 880000 | F: 36 | G: 17
Explorados: 890000 | F: 36 | G: 19
Explorados: 900000 | F: 35 | G: 32
Explorados: 910000 | F: 36 | G: 17
Explorados: 920000 | F: 34 | G: 19
Explorados: 930000 | F: 36 | G: 17
Explorados: 940000 | F: 36 | G: 19
Explorados: 950000 | F: 36 | G: 20
Explorados: 960000 | F: 36 | G: 21
Explorados: 970000 | F: 36 | G: 21
Explorados: 980000 | F: 36 | G: 22
Explorados: 990000 | F: 36 | G: 19
Explorados: 1000000 | F: 36 | G: 21
Explorados: 1010000 | F: 36 | G: 25
Explorados: 1020000 | F: 36 | G: 22
Explorados: 1030000 | F: 36 | G: 21
Explorados: 1040000 | F: 36 | G: 17
Explorados: 1050000 | F: 36 | G: 18
Explorados: 1060000 | F: 36 | G: 19
Explorados: 1070000 | F: 36 | G: 21
Explorados: 1080000 | F: 36 | G: 18
Explorados: 1090000 | F: 36 | G: 21
Explorados: 1100000 | F: 36 | G: 24
Explorados: 1110000 | F: 36 | G: 19
Explorados: 1120000 | F: 36 | G: 25
Explorados: 1130000 | F: 36 | G: 22
Explorados: 1140000 | F: 36 | G: 21
Explorados: 1150000 | F: 36 | G: 17
Explorados: 1160000 | F: 36 
